BP,DHD,Dtrc7,Atrc7,Drec7,lat,lon
0.0909,59.72,0,0,0,24.675,-81.025
0.097,59.72,0,0,0,24.675,-81.025
0.1163,58.2,0,0,0,24.675,-80.975
0.0169,58.2,0,0,0,24.675,-80.975
0.02,65.2,0,0,0,24.625,-81.425
0.0338,60.47,0,0,0,24.575,-81.375
0.0452,60.47,0,0,0,24.575,-81.375
0,58.2,0,0,0,24.675,-80.975
0.0323,70.75999,0,0,0,24.775,-80.925
0.0575,62.21,0,0,7,24.725,-80.925
0.41,62.05,0,0,0,20.425,-87.275
0.1395,62.32999,0,0,0,24.475,-81.775
0.1803,62.32999,0,0,0,24.475,-81.775
0,62.32999,0,0,0,24.475,-81.775
0.0963,60.24,0,0,0,24.475,-81.725
0.0978,58.44,0,0,0,24.475,-81.675
0.1,62.32999,0,0,0,24.475,-81.775
0,69.75,0,0,0,10.675,103.275
0,69.23,0,0,0,4.875,114.675
0,69.23,0,0,0,4.875,114.675
0.2794,58.85,41,16.26,31,-6.125,39.175
0.02,61.88,0,0,11,-11.575,43.375
0,69.75,0,0,0,10.675,103.275
0,67.76001,0,0,0,10.625,103.275
0,67.76001,0,0,0,10.625,103.275
0,67.76001,0,0,0,10.625,103.275
0,80.81,0,0,0,2.825,104.175
0,67.76001,0,0,0,10.625,103.275
0.15,73.73,9,1.89,7,-12.025,50.025
0,69.75,0,0,0,10.675,103.275
0,69.75,0,0,0,10.675,103.275
0,67.76001,0,0,0,10.625,103.275
0,67.76001,0,0,0,10.625,103.275
0,81.12,0,0,0,2.825,104.125
0,81.06001,0,0,0,2.775,104.125
0,81.12,0,0,0,2.875,104.125
0.07,73.73,0,0,0,-16.625,59.625
0.63,83.92,0,0,40,-4.975,119.275
0.1206,63.39,40,16.9,31,-6.275,39.175
0,76.46001,0,0,0,2.475,104.475
0,76.46001,0,0,0,2.475,104.475
0.1573,60.18,41,16.73,31,-6.125,39.125
0.2053,60.18,41,16.73,31,-6.125,39.125
0.234,60.18,41,16.73,31,-6.125,39.125
0.2574,60.18,41,16.73,31,-6.125,39.125
0.8452,67.76001,0,0,0,10.625,103.275
0.9,67.76001,0,0,0,10.625,103.275
0.9,88.07999,0,0,0,7.725,98.725
0.8958,67.76001,0,0,0,10.625,103.275
0.9295,67.76001,0,0,0,10.625,103.275
1,69.75,0,0,0,10.675,103.275
1,69.75,0,0,0,10.675,103.275
0.9737,67.87,0,0,0,10.625,103.325
1,69.75,0,0,0,10.675,103.275
1,69.75,0,0,0,10.675,103.275
1,67.87,0,0,0,10.625,103.325
0.36,65.15,12,1.8,28,-12.775,45.225
0.9773,67.76001,0,0,0,10.625,103.275
1,67.76001,0,0,0,10.625,103.275
0.9336,67.76001,0,0,0,10.625,103.275
0,58.78,0,0,0,-10.275,166.275
0,58.78,0,0,0,-10.275,166.275
0,58.78,0,0,0,-10.275,166.275
0.45,69.75,0,0,0,10.675,103.275
0.8095,69.75,0,0,0,10.675,103.275
0.6736,67.87,0,0,0,10.625,103.325
0.7206,67.87,0,0,0,10.625,103.325
0.875,67.76001,0,0,0,10.625,103.275
0.9643,67.76001,0,0,0,10.625,103.275
0,66.17,0,0,0,4.225,118.675
0.8949,67.76001,0,0,0,10.625,103.275
0.9321,67.76001,0,0,0,10.625,103.275
0,60.63,0,0,0,4.325,118.875
0,60.63,0,0,0,4.325,118.875
0.05,60.12,0,0,13,-12.125,40.575
0,66.17,0,0,0,4.225,118.675
0,66.17,0,0,0,4.225,118.675
0,66.17,0,0,0,4.225,118.675
0.9643,69.75,0,0,0,10.675,103.275
1,69.75,0,0,0,10.675,103.275
0.4167,67.87,0,0,0,10.625,103.325
0.75,67.87,0,0,0,10.625,103.325
0,80.81,0,0,0,2.825,104.175
0.77,105.89,0,0,0,11.725,92.775
